ticker,marketCap,trailingPE,forwardPE,priceToSalesTrailing12Months,priceToBook,revenueGrowth,earningsGrowth,grossMargins,profitMargins,returnOnAssets,returnOnEquity,currentRatio,debtToEquity,freeCashflow,ebitda
NOC,77625376768,34.489277,19.189804,1.9042631,5.436083,0.067,0.191,0.16804,0.05608,0.039690003,0.15349,1.105,127.026,2298625024.0,4304000000.0
NCLH,10469042176,24.54639,12.210256,1.1521915,15.107868,0.076,0.776,0.37854,0.046240002,0.03893,1.1863301,0.239,2036.184,-652946752.0,2153138944.0
NRG,17816784896,9.466009,13.72496,0.61775887,6.025265,0.049,1.696,0.20828,0.07191,0.05429,0.59641,1.181,301.573,1813374976.0,3696999936.0
NUE,37556367360,11.400577,14.747438,1.1487052,1.8122474,-0.152,-0.539,0.18531,0.10451,0.085810006,0.17629999,2.931,32.336,2269796352.0,5888082944.0
NVDA,3385139920896,64.48598,33.990147,35.149467,58.277027,1.224,1.68,0.75975996,0.55041003,0.55258,1.23767,4.269,17.221,33725874176.0,61184000000.0
NVR,30543235072,20.491835,18.79657,3.0169199,7.4188976,0.117,0.036,0.26124,0.16183001,0.2026,0.39541,6.129,25.282,1269340416.0,2071500032.0
NXPI,59467415552,21.879099,15.348454,4.536381,6.6005993,-0.052,-0.049,0.5719,0.21214001,0.09925,0.31456,2.211,108.935,2039374976.0,4696000000.0
OXY,48311193600,13.38342,15.654546,1.7812549,1.9683748,0.017,0.635,0.60825,0.17045,0.045440003,0.14427,1.041,64.525,2996250112.0,12232999936.0
ODFL,42760818688,34.1094,31.673014,7.1631,10.421476,0.061,0.113,0.40567002,0.21383,0.20274,0.32136002,1.46,1.459,782133504.0,2011958016.0
OMC,20383315968,14.273224,12.12065,1.3212069,5.158742,0.085,0.048,0.18731001,0.094519995,0.05077,0.33923998,0.983,155.236,1281712512.0,2420600064.0
ON,29338101760,15.601367,14.634616,3.7628388,3.5168161,-0.172,-0.393,0.46304,0.24837999,0.11146,0.25236,3.015,43.602,391237504.0,2986200064.0
OKE,56789516288,21.511063,16.939026,2.9734287,3.3986998,0.311,0.279,0.37756002,0.13409,0.07818,0.21406999,0.622,130.906,1250875008.0,5241999872.0
ORCL,484076486656,45.023193,24.398046,8.995196,44.757877,0.069,0.198,0.71310997,0.20396,0.072909996,1.55578,0.72,749.978,10339500032.0,21802999808.0
PCAR,57711599616,11.674442,13.574599,1.6353806,3.2602837,-0.012,-0.086,0.19263001,0.14066,0.09405,0.30283,5.096,81.7,-149490000.0,6295099904.0
PKG,19769372672,27.61857,20.194496,2.4933624,4.756369,0.063,-0.013,0.20658001,0.09059,0.0761,0.18013,2.434,76.584,568324992.0,1547000064.0
PLTR,96229171200,252.76471,99.93024,38.81803,23.740334,0.272,5.0,0.81388,0.16319,0.03979,0.114870004,5.916,6.246,543769344.0,325126016.0
PANW,122044645376,51.558456,52.132126,15.20332,23.571247,0.121,0.591,0.74347997,0.3211,0.032190003,0.74517995,0.892,27.28,2498700032.0,1094400000.0
PH,82405416960,29.324175,21.81335,4.1348243,6.8226995,0.018,0.104,0.35935003,0.14271,0.08384,0.25379,0.93,89.349,2884023808.0,4901744128.0
PAYX,50936360960,30.241453,26.754253,9.59109,13.228338,0.025,0.017,0.71773005,0.31983998,0.120349996,0.45672,1.378,22.517,1181175040.0,2358799872.0
PYPL,82747392000,19.645632,16.586065,2.6668618,4.050443,0.082,0.174,0.39580002,0.14303,0.041929998,0.22034,1.242,62.836,6406000128.0,5898999808.0
PNR,16390922240,25.010101,20.633333,3.9881558,4.774623,0.016,0.204,0.38025,0.16047001,0.08009,0.20722,1.645,54.921,491200000.0,951500032.0
PEP,240180576256,25.858198,20.285051,2.6129305,12.356013,-0.006,-0.049,0.54883,0.1018,0.087799996,0.48819,0.886,229.605,6129999872.0,17013999616.0
